latitude,longitude,location,area
-5.5,105.5,"-5.54148865,105.51100092534512","Lampung Selatan, Lampung"
-5.0,105.5,"-5.11971165,105.59515146938612","Lampung Timur, Lampung"
-4.75,104.75,"-4.8086085,104.8628814822757","Lampung Utara, Lampung"
-4.5,104.5,"-4.56694035,104.51616024455134","Way Kanan, Lampung"
-4.5,105.5,"-4.39036295,105.55044053917015","Tulang Bawang, Lampung"
-5.5,105.0,"-5.4559573,105.08469101016075","Pesawaran, Lampung"
-5.5,105.25,"-5.4460713,105.2643742","Bandar Lampung, Lampung"
-5.0,105.25,"-5.1078839,105.3078642","Metro, Lampung"
-2.25,106.0,"-2.2901091,106.0626877833138","Desa Simpang Katis, Bangka-Belitung Islands"
-3.0,108.0,"-2.9164574,108.00372175752332","Belitung Timur, Bangka-Belitung Islands"
-2.0,106.0,"-2.1206733,106.1134604","Pangkalpinang, Bangka-Belitung Islands"
0.75,103.5,"0.76538705,103.42874447233233","Karimun, Riau Islands"
1.0,104.5,"1.01965765,104.5698188712206","Bintan, Riau Islands"
-0.5,104.5,"-0.5094966,104.41416137114892","Lingga, Riau Islands"
1.0,104.0,"1.1030815,104.0383696","Batam, Riau Islands"
1.0,104.5,"0.9236915,104.446094","Tanjung Pinang, Riau Islands"
-6.5,106.75,"-6.5962986,106.7972421","Bogor, West Java"
-7.0,107.0,"-6.9199289,106.9265095","Sukabumi, West Java"
-6.75,107.25,"-6.8224448,107.1392952","Cianjur, West Java"
-7.0,107.5,"-6.9344694,107.6049539","Bandung, West Java"
-7.25,108.0,"-7.2162543,107.9014912","Garut, West Java"
-7.25,108.25,"-7.3262484,108.2201154","Tasikmalaya, West Java"
-7.25,108.25,"-7.3266659,108.3531111","Ciamis, West Java"
-7.0,108.5,"-6.9869841,108.5538158340074","Kuningan, West Java"
-6.75,108.5,"-6.7137044,108.5608483","Cirebon, West Java"
-6.75,108.25,"-6.8351874,108.2277623","Majalengka, West Java"
0.75,110.0,"0.64706325,109.91000867616155","Kuala Behe, West Kalimantan"
-6.25,108.25,"-6.326433,108.3229169","Indramayu, West Java"
-6.5,107.75,"-6.5689807,107.7587397","Subang, West Java"
-6.5,107.5,"-6.5607313,107.4439799","Purwakarta, West Java"
-6.25,107.25,"-6.3042012,107.307897","Karawang, West Java"
-6.25,107.0,"-6.2349858,106.9945444","Bekasi, West Java"
-7.0,107.5,"-6.89775405,107.41242936450844","West Bandung, West Java"
-6.5,106.75,"-6.40719,106.8158371","Depok, West Java"
-6.75,107.5,"-6.8731527,107.5423099","Cimahi City, West Java"
-7.25,108.5,"-7.3695648,108.5415225","Banjar, West Java"
-7.75,109.0,"-7.7356561,109.00068169960151","Desa Tambakreja, Central Java"
-7.5,109.25,"-7.4279011,109.2408501","Purwokerto, Central Java"
-7.5,109.75,"-7.3962647,109.6950531","Banjarnegara, Central Java"
-7.75,109.75,"-7.6686894,109.6519465","Kebumen, Central Java"
-7.75,110.0,"-7.7130761,110.0090605","Purworejo, Central Java"
-7.25,110.0,"-7.3588662,109.9032937","Wonosobo, Central Java"
-7.5,110.25,"-7.4770747,110.2182164","Kota Magelang, Central Java"
-7.5,110.5,"-7.5313771,110.5972919","Boyolali, Central Java"
-7.75,110.5,"-7.7049502,110.6018046","Klaten, Central Java"
-7.75,110.75,"-7.6815729,110.86772044271632","Sukoharjo, Central Java"
-7.75,111.0,"-7.814198,110.9259617","Wonogiri, Central Java"
-7.5,111.0,"-7.5975877,110.946872","Karanganyar, Central Java"
-7.5,111.0,"-7.4277335,111.023494","Sragen, Central Java"
-7.0,111.0,"-7.0811262,110.9172873","Purwodadi, Central Java"
-7.0,111.5,"-6.9691528,111.4130521","Blora, Central Java"
-6.75,111.25,"-6.7056856,111.3486234","Rembang, Central Java"
-6.75,111.0,"-6.7534144,111.0399982","Pati, Central Java"
-6.75,110.75,"-6.8078233,110.8416866","Kudus, Central Java"
-6.5,110.75,"-6.5899148,110.6672987","Jepara, Central Java"
-7.0,110.75,"-6.8947858,110.6385399","Demak, Central Java"
-7.0,110.5,"-6.9903988,110.4229104","Semarang, Central Java"
-7.25,110.25,"-7.3162826,110.1755869","Temanggung, Central Java"
-7.0,110.25,"-6.9217033,110.2040344","Kendal, Central Java"
-7.0,109.75,"-7.03235465,109.86795298436223","Batang, Central Java"
-7.0,109.75,"-6.8905065,109.6761489","Pekalongan, Central Java"
-7.0,109.5,"-6.8903801,109.3806311","Pemalang, Central Java"
-6.75,109.25,"-6.8673767,109.1378833","Tegal, Central Java"
-6.75,109.0,"-6.870636,109.0369034","Brebes, Central Java"
-7.5,110.75,"-7.5692489,110.828448","Surakarta, Central Java"
-7.25,110.5,"-7.3302642,110.4995353","Salatiga, Central Java"
-7.75,110.25,"-7.8176377,110.152945","Sendangsari, Special Region of Yogyakarta"
-8.0,110.25,"-7.8877454,110.3274139","Bantul, Special Region of Yogyakarta"
-8.0,110.5,"-8.0174948,110.6227607","Pacarejo, Special Region of Yogyakarta"
-7.75,110.25,"-7.8011945,110.364917","Yogyakarta, Special Region of Yogyakarta"
-6.75,106.25,"-6.6432601,106.18727177777018","Lebak, Banten"
-6.25,106.75,"-6.1761924,106.6382161","Tangerang, Banten"
-6.0,106.25,"-6.1169662,106.1518079","Serang, Banten"
-6.0,106.0,"-6.017389,106.0537688","Cilegon, Banten"
-8.5,114.75,"-8.3955784,114.70546114941028","Jembrana, Bali"
-8.75,115.25,"-8.64487245,115.1359045687686","Badung, Bali"
-8.5,115.25,"-8.5482357,115.32605401537212","Gianyar, Bali"
-8.75,115.5,"-8.74460265,115.5575441927512","Klungkung Regency, Bali"
-8.25,115.25,"-8.3333362,115.36828121658452","Bangli, Bali"
-6.5,108.25,"-6.44185365,108.17654724128828","Indramayu, West Java"
-7.75,115.25,"-7.8428262,115.19702946173408","Buleleng, Bali"
-8.75,115.25,"-8.6524973,115.2191175","Denpasar, Bali"
-8.75,116.0,"-8.6718889,116.122048","Lombok Barat, West Nusa Tenggara"
-8.75,116.25,"-8.703071,116.2899373","Lombok Tengah, West Nusa Tenggara"
-8.75,116.5,"-8.6330934,116.5587704","Lombok Timur, West Nusa Tenggara"
-8.5,118.25,"-8.5164771,118.33121614464076","Dompu, West Nusa Tenggara"
-8.5,118.75,"-8.4534091,118.727689","Bima, West Nusa Tenggara"
-8.75,117.0,"-8.658515,116.9161845","Sumbawa Barat, West Nusa Tenggara"
-8.5,116.0,"-8.5837726,116.10685","Mataram, West Nusa Tenggara"
-9.5,119.5,"-9.58570915,119.44394260619364","Sumba Barat, East Nusa Tenggara"
-10.0,120.25,"-9.9352243,120.3295293","Desa Katiku Luku, East Nusa Tenggara"
-10.25,123.5,"-10.1632209,123.6017755","Kupang, East Nusa Tenggara"
-9.75,124.5,"-9.82305125,124.43559530205364","Timor Tengah Selatan, East Nusa Tenggara"
-9.25,124.5,"-9.340513,124.61066614859644","Timor Tengah Utara, East Nusa Tenggara"
-9.5,125.0,"-9.54601665,124.87635324295294","Malaka, East Nusa Tenggara"
