name,state,lat,lon
Subang,West Java,-6.5689807,107.7587397
Purwakarta,West Java,-6.5607313,107.4439799
Karawang,West Java,-6.3042012,107.307897
Bekasi,West Java,-6.2349858,106.9945444
West Bandung,West Java,-6.89775405,107.41242936450845
Bogor,West Java,-6.5962986,106.7972421
Sukabumi,West Java,-6.9199289,106.9265095
Bandung,West Java,-6.9344694,107.6049539
Cirebon,West Java,-6.7137044,108.5608483
Bekasi,West Java,-6.2349858,106.9945444
Depok,West Java,-6.40719,106.8158371
Cimahi City,West Java,-6.8731527,107.5423099
Tasikmalaya,West Java,-7.3262484,108.2201154
Banjar,West Java,-7.3695648,108.5415225
Desa Tambakreja,Central Java,-7.7356561,109.00068169960151
Purwokerto,Central Java,-7.4279011,109.2408501
Purbalingga,Central Java,-7.3895937,109.3630117
Banjarnegara,Central Java,-7.3962647,109.6950531
Kebumen,Central Java,-7.6686894,109.6519465
Purworejo,Central Java,-7.7130761,110.0090605
Wonosobo,Central Java,-7.3588662,109.9032937
Kota Magelang,Central Java,-7.4770747,110.2182164
Boyolali,Central Java,-7.5313771,110.5972919
Klaten,Central Java,-7.7049502,110.6018046
Sukoharjo,Central Java,-7.6815729,110.86772044271632
Wonogiri,Central Java,-7.814198,110.9259617
Karanganyar,Central Java,-7.5975877,110.946872
Sragen,Central Java,-7.4277335,111.023494
Purwodadi,Central Java,-7.0811262,110.9172873
Blora,Central Java,-6.9691528,111.4130521
Rembang,Central Java,-6.7056856,111.3486234
Pati,Central Java,-6.7534144,111.0399982
Kudus,Central Java,-6.8078233,110.8416866
Jepara,Central Java,-6.5899148,110.6672987
Demak,Central Java,-6.8947858,110.6385399
Semarang,Central Java,-6.9903988,110.4229104
Temanggung,Central Java,-7.3162826,110.1755869
Kendal,Central Java,-6.9217033,110.2040344
Batang,Central Java,-7.03235465,109.86795298436223
Pekalongan,Central Java,-6.8905065,109.6761489
Pemalang,Central Java,-6.8903801,109.3806311
Tegal,Central Java,-6.8673767,109.1378833
Brebes,Central Java,-6.870636,109.0369034
Kota Magelang,Central Java,-7.4770747,110.2182164
Surakarta,Central Java,-7.5692489,110.828448
Salatiga,Central Java,-7.3302642,110.4995353
Semarang,Central Java,-6.9903988,110.4229104
Pekalongan,Central Java,-6.8905065,109.6761489
Tegal,Central Java,-6.8673767,109.1378833
Sendangsari,Special Region of Yogyakarta,-7.8176377,110.152945
Bantul,Special Region of Yogyakarta,-7.8877454,110.3274139
Pacarejo,Special Region of Yogyakarta,-8.0174948,110.6227607
Yogyakarta,Special Region of Yogyakarta,-7.8011945,110.364917
Pandeglang,Banten,-6.54737655,105.79948786292081
Lebak,Banten,-6.6432601,106.18727177777018
Tangerang,Banten,-6.1761924,106.6382161
Serang,Banten,-6.1169662,106.1518079
Tangerang,Banten,-6.1761924,106.6382161
Cilegon,Banten,-6.017389,106.0537688
Serang,Banten,-6.1169662,106.1518079
Jembrana,Bali,-8.3955784,114.70546114941027
Tabanan,Bali,-8.5392306,115.1265683
Badung,Bali,-8.64487245,115.13590456876861
Gianyar,Bali,-8.5482357,115.32605401537212
Klungkung Regency,Bali,-8.74460265,115.55754419275121
Bangli,Bali,-8.3333362,115.36828121658453
Indramayu,West Java,-6.44185365,108.17654724128828
Buleleng,Bali,-7.8428262,115.19702946173408
Denpasar,Bali,-8.6524973,115.2191175
Lombok Barat,West Nusa Tenggara,-8.6718889,116.122048
Lombok Tengah,West Nusa Tenggara,-8.703071,116.2899373
Lombok Timur,West Nusa Tenggara,-8.6330934,116.5587704
Sumbawa,West Nusa Tenggara,-8.73412725,117.4959869902373
Dompu,West Nusa Tenggara,-8.5164771,118.33121614464076
Bima,West Nusa Tenggara,-8.4534091,118.727689
Sumbawa Barat,West Nusa Tenggara,-8.658515,116.9161845
Mataram,West Nusa Tenggara,-8.5837726,116.10685
Bima,West Nusa Tenggara,-8.4534091,118.727689
Sumba Barat,East Nusa Tenggara,-9.58570915,119.44394260619363
Desa Katiku Luku,East Nusa Tenggara,-9.9352243,120.3295293
Kupang,East Nusa Tenggara,-10.1632209,123.6017755
Timor Tengah Selatan,East Nusa Tenggara,-9.82305125,124.43559530205364
Timor Tengah Utara,East Nusa Tenggara,-9.340513,124.61066614859645
Malaka,East Nusa Tenggara,-9.54601665,124.87635324295294
Alor,East Nusa Tenggara,-8.29114485,124.7777164000955
Lembata,East Nusa Tenggara,-8.37814435,123.54462658999077
Flores Timur,East Nusa Tenggara,-8.318462,123.16579632309583
Sikka,East Nusa Tenggara,-8.5946841,122.09263522276441
Ende,East Nusa Tenggara,-8.6728675,121.69291732410474
Ngada,East Nusa Tenggara,-8.6499482,120.98670703234544
Manggarai,East Nusa Tenggara,-8.5480146,120.43898618548442
Rote Ndao,East Nusa Tenggara,-10.68702915,123.20843503116711
Manggarai Barat,East Nusa Tenggara,-8.5741281,120.06112521397347
Sumba Tengah,East Nusa Tenggara,-9.5935839,119.66627706284194
Sumba Barat Daya,East Nusa Tenggara,-9.537821,119.16230194503791
Nagekeo,East Nusa Tenggara,-8.67588695,121.27080266734956
